,3m,3m_gini
145,9530008L14Rik,5.939503800085413e-05
146,9530026P05Rik,1.1560406242119643e-05
147,9530068E07Rik,6.277258750034445e-05
148,9930111J21Rik2,0.00010095463212650553
149,A130040M12Rik,0.0024570173998795957
150,A230046K03Rik,0.00012073416187338544
151,A430005L14Rik,3.86381785430582e-05
152,A630007B06Rik,2.8767668629084524e-05
153,A730098P11Rik,7.66549362575394e-05
154,A930001N09Rik,4.447603127517484e-05
155,AI314180,4.545550812999799e-05
156,AI462493,6.700795422275328e-05
157,AI607873,7.236995353456645e-05
158,AI662270,6.454355218548154e-05
159,AI837181,6.369437529284715e-05
160,AU019823,3.1151258012497666e-05
161,AW112010,8.363713461130108e-05
162,Aacs,4.152998638773815e-05
163,Aadac,3.58309655618958e-05
164,Aadat,8.6592894433182e-05
165,Aak1,5.4830619066195816e-05
166,Aamp,0.00016026068749660483
167,Aars,7.666962668153117e-05
168,Aars2,3.128212418247453e-05
169,Aarsd1,4.682531447918608e-05
170,Aass,4.0665799806655114e-05
171,Abat,7.462851408366838e-05
172,Abca13,1.9758646659143303e-05
173,Abca3,9.110303657442814e-05
174,Abca9,2.468750415508566e-05
175,Abcb1b,1.655525441613053e-05
176,Abcb7,4.6416379627833595e-05
177,Abcc5,5.755348142912882e-05
178,Abcd1,3.101094433550145e-05
179,Abcd3,0.00014069093782544944
180,Abcf1,5.6487340542200345e-05
181,Abcg1,0.00012816719342230256
182,Abcg2,0.0004371937172530173
183,Abhd11,8.702592066346032e-05
184,Abhd12,9.982004559050483e-05
185,Abhd14b,0.0001252908134739836
186,Abhd16a,5.7977232378555496e-05
187,Abhd3,5.175430766251528e-05
188,Abhd4,1.6970355213325247e-05
189,Abhd8,4.723795510293739e-05
190,Abi2,2.4485571098343553e-05
191,Abi3,0.00014249030579337855
192,Ablim1,9.116059455943084e-05
193,Acaa1a,6.615150065751486e-05
194,Acaa1b,0.00017672314878288943
195,Acaa2,0.00014244521042992682
196,Acad11,7.345434027014044e-05
197,Acad8,2.8483746969365768e-05
198,Acadl,7.276036229495749e-05
199,Acadm,0.00016245280497202995
200,Acadsb,6.249124108555596e-05
201,Acadvl,6.392933870799046e-05
202,Acat1,0.0001952559263967614
203,Acbd4,5.8025947398706985e-05
204,Acbd5,3.14759867594059e-05
205,Acin1,0.00015146627696786027
206,Acmsd,5.366915328139708e-05
207,Aco1,0.00011365947125215738
208,Aco2,0.0005125986690056447
209,Acot13,0.00012665946096201026
210,Acot2,0.0002453841790788342
211,Acot7,7.40074971731708e-05
212,Acox1,0.00012479285498722005
213,Acox2,5.991099787902815e-05
214,Acox3,4.2577094780148156e-05
215,Acp1,6.012824417236351e-05
216,Acp2,2.7489562047191968e-05
217,Acp5,5.96059519608959e-05
218,Acsf2,3.953218111058769e-05
219,Acsf3,3.8000134786050446e-05
220,Acsl1,0.000345896500255225
221,Acsl3,8.617735260616478e-05
222,Acsl4,2.1147271174551346e-05
223,Acsl5,5.881918722696886e-05
224,Acsm1,0.00010618192415226224
225,Acsm2,8.644970909941155e-05
226,Acsm3,3.987752980192012e-05
227,Acss1,0.0004295468708608809
228,Acss2,5.8646074272565204e-05
229,Actb,0.0006899298396668538
230,Actc1,0.00018895038272509325
231,Actg1,0.0002746360798102568
232,Actl6a,9.256072829831347e-05
233,Actn1,3.674221016538323e-05
234,Actn4,0.0006236116029397846
235,Actr10,7.607811693871176e-05
236,Actr1a,2.433933227065815e-05
237,Actr2,0.0001583965448720233
238,Actr3,0.0003273506867177431
239,Actr6,2.3493865298755944e-05
240,Acvr2a,5.7233170050393884e-05
241,Acvrl1,8.547362016720169e-05
242,Acy1,4.021454472186096e-05
243,Acy3,0.0002506935831362051
244,Acyp1,5.281147994623478e-05
245,Adam10,0.00019104362120413079
246,Adam15,8.244197862326166e-05
247,Adam17,3.228106784410832e-05
248,Adam9,3.331690625712612e-05
249,Adamts1,0.000409685899336798
250,Adamtsl2,5.632907920658464e-05
251,Adap1,2.455397660417693e-05
252,Adap2,9.499563209238182e-05
253,Adar,3.67108032402174e-05
254,Adck3,0.00012769914792438197
255,Add1,8.96620499514755e-05
256,Add3,7.064743938273018e-05
257,Adh1,0.000128533753798221
258,Adh5,8.731347385481167e-05
259,Adhfe1,6.545783085504573e-05
260,Adi1,8.404993296063718e-05
261,Adipor1,9.032387060404645e-05
262,Adk,3.5295361759428417e-05
263,Adprh,5.84466816916189e-05
264,Adrb1,7.6173428109729655e-06
265,Adrb2,7.310751792292758e-05
266,Adrbk1,7.59916414181812e-05
267,Adrm1,0.00011505315834270624
268,Adss,7.734316842096791e-05
269,Adssl1,5.698222078189428e-05
270,Aebp1,3.9193477789118507e-05
271,Aes,0.003019548134879224
272,Afap1,7.626677744379502e-05
273,Afap1l1,6.937959275364031e-05
274,Aff4,4.758744256867994e-05
275,Afg3l1,4.0695239131591315e-05
276,Afg3l2,7.139360261220291e-05
277,Afmid,7.05997808391097e-05
278,Aftph,6.295137310287066e-05
279,Aga,4.2497549462210204e-05
280,Agap1,8.015964283675009e-05
281,Aggf1,7.733120806742251e-05
282,Agpat1,7.459671170482283e-05
283,Agpat3,3.5353002326594096e-05
284,Agpat4,1.972191738146194e-05
285,Agpat9,4.4925732199480145e-05
286,Agps,7.895292851408457e-05
287,Agr2,0.001642936293604126
288,Agtr1a,2.240746164801646e-05
289,Agtrap,4.847141233402291e-05
290,Agxt2l2,4.680641763241836e-05
291,Ahcy,4.767083615015756e-05
292,Ahcyl1,9.648545670149696e-05
293,Ahcyl2,6.651759391611547e-05
294,Ahdc1,9.915358503594564e-06
